id;name;country;start_date
110;Focus Home Interactive;250;851990400
111;The Creative Assembly;826;556243200
112;Sega;392;-302313600
113;Westwood Studios;840;504835200
114;reLINE Software;276;
115;Codemasters;826;504921600
116;Bohemia Interactive Studio;203;938649600
117;Troika Games;840;891388800
118;Paradox Development;;
119;Mass Media Interactive Entertainment;;
120;MacPlay;;
121;Blizzard Classic Arcade;;
122;Crytek Frankfurt;276;915148800
125;Crytek Budapest;;
126;Bethesda Game Studios;840;1009756800
127;Funcom Productions;;
128;Microsoft;;165801600
129;Konami;392;-24710400
130;MacSoft Games;840;757296000
131;Robot Entertainment;840;1262217600
132;Destineer;840;946684800
133;Rogue Entertainment;840;788832000
134;Max Design;40;694137600
135;Sunflowers;;
136;Planet Moon Studios;840;883526400
137;Digital Illusions CE;752;757296000
138;Refraction Games;;
139;Take-Two Interactive;840;757296000
140;EA Los Angeles;840;978220800
141;Virgin Interactive Entertainment (Europe) Ltd.;826;441676800
142;Westwood Pacific;;
143;EA Games - duplicate;;386380800
144;GSC Game World;804;820368000
145;cdv Software Entertainment;276;599616000
146;Strategy First;124;662601600
147;Vivendi Universal;;
148;Gearbox Software;840;919123200
149;Ritual Entertainment;;
150;Hidden Path Entertainment;840;1136073600
151;Simtex;840;599529600
152;MicroProse;840;410140800
153;Digital Illusions CE: Canada;;
154;Neowiz Games;;
155;Easy Studios;752;
157;1C Company;643;670377600
158;Crytek UK;826;946598400
159;Konami Computer Entertainment Tokyo;;
160;Double Helix Games;840;1199059200
161;Konami Digital Entertainment;392;
162;Vatra Games;;
163;Climax Studios;826;1230681600
164;Rocksteady Studios;826;1104451200
165;DC Entertainment;;
166;Shadows in Darkness;;
167;People Can Fly;616;1012521600
168;Epic Games, Inc.;840;694137600
169;MercurySteam;724;1041292800
170;Kojima Productions;392;1112313600
173;The Omni Group;;
174;Digital Mayhem;;
175;Haemimont Games;100;873072000
176;FX Interactive;;
177;duplicate company name;840;915148800
178;Intelligent Games;;
179;Activision Blizzard;840;1230681600
180;Mythos Games;826;599529600
181;Blue Fang Games;;
182;Nihilistic Software;840;888710400
183;Hasbro Interactive;;
184;id Software;840;665366400
185;Ninjaforce;;
186;Stalker Entertainment;;
187;Nerve Software, LLC;840;1009756800
188;Apogee Software;840;567907200
189;BAM! Entertainment;840;
190;Atari Corporation;840;473299200
191;Imagineer;392;507168000
192;Zodttd;;
193;Jellyvision;;
194;Hothouse Creations;;
195;Brøderbund Software;840;347068800
196;Relic Entertainment;124;883526400
197;THQ;840;599616000
198;Iron Lore Entertainment;840;970358400
199;Sonokong;;
200;Electronic Arts Victor;;
201;Cyberlore Studios;840;725760000
202;Pterodon;;
203;Illusion Softworks;203;883526400
204;Gathering of Developers;;
205;GT Interactive;;
206;Epic MegaGames;;
207;PopTop Software;;
208;Frontier Developments;826;757382400
209;Wideload Games;;
210;Southlogic Studios;;
211;Blue Castle Games;124;1120435200
212;Sunstorm Interactive;840;820368000
213;Infogrames;250;424483200
214;Sylum Entertainment;;
215;WizardWorks Software;840;662601600
216;Glu Mobile;;
217;Morning Star Multimedia;;
218;Vatical Entertainment;;
219;Team Little Devils;;
221;Splash Damage;826;988675200
222;BioWare Edmonton;124;791596800
223;Edge of Reality;840;915062400
224;3D Realms;840;567907200
225;Lobotomy Software;840;757296000
226;Aardvark Software;;
227;U.S. Gold;826;473299200
228;FormGen;;
229;SEGA of America;;
230;MachineWorks Northwest;840;
231;Tec Toy Indústria de Brinquedos;;
232;Triptych Games;;
233;Piranha Games;124;978220800
234;Cryo Interactive;250;725760000
235;Heuristic Park;;
236;DreamCatcher Interactive;124;851990400
237;Crimson Cow;276;
238;Typhoon Games;;
239;Gas Powered Games;;
240;Stainless Steel Studios;840;883612800
241;989 Studios;840;891388800
242;Verant Interactive;;
243;Sony Online Entertainment;840;820368000
244;Edusoft;;
245;ZeniMax Media;840;925516800
246;Micro Forté;;
247;14 Degrees East;840;946598400
248;Bandai Namco Entertainment;392;1427846400
249;Crytek;276;936144000
250;Square;392;431222400
251;Sunsoft;;
252;Square Electronic Arts;;
253;Square Europe;;
254;Widescreen Games;;
255;ArenaNet;840;978220800
256;NCsoft;410;883526400
257;Sierra Studios;;
258;KnowWonder;;
259;Warthog Games;;
260;Argonaut Games;;
261;Quantic Dream;250;883526400
262;Flagship Studios;;
263;Namco;392;-460339200
264;HanbitSoft;;
265;Contraband Entertainment;;
266;Tarantula Studios;;
267;TalonSoft;;
268;Global Star Software;124;725760000
269;Enlight Software Limited;826;757296000
270;JoWooD Productions Software;40;820368000
271;The Collective;840;883526400
272;Madlab Software;;
273;Sir-tech Software;840;347068800
274;Sir-Tech Canada;124;788832000
275;Titan Computer;;
276;EA UK;;
277;EA Canada;124;410313600
278;Silicon & Synapse;840;
279;4J Studios;826;1135987200
280;Starbreeze Studios;752;1041292800
281;Tigon Studios;;
282;Trilobyte;;
283;The Sims Studio;840;1167523200
284;Maxis;840;536457600
285;Tiertex Design Studios;826;567907200
287;Acclaim Entertainment;840;567907200
290;IO Interactive;208;904608000
291;Nixxes Software;528;933465600
292;Traveller's Tales;826;631065600
293;TT Games;826;1135987200
294;Telltale Games;840;1086048000
295;Origin Systems;840;410227200
296;3G Studios;840;
298;Sierra Northwest;840;
299;Hellbent Games;124;
300;Nintendo Creative Department;;
301;2K Czech;203;1230681600
302;Massive Bear Studios;;
303;Jaleco;;
304;Quicksilver Software;840;
305;Remedy Entertainment;246;820368000
306;Rockstar Toronto;124;1041292800
307;Rockstar Vienna;40;726105600
308;Rockstar Leeds;826;1104451200
309;2015;840;883526400
310;Ultra Games;;
311;Digital Dialect;840;
312;Konami Computer Entertainment Japan;392;
313;Success Corporation;392;266025600
314;4A Games;804;1135987200
315;Trion Worlds;840;1167523200
316;Sierra;;1419984000
317;Dynamix;840;473299200
318;Rebellion Developments;826;725760000
319;n-Space;840;788832000
320;Kan Navi;;
321;Tose;392;310262400
322;Matrix Software;392;770428800
323;Nextech;;
324;Square Soft;392;
325;Saffire;840;788832000
326;Cyan Worlds;840;567907200
327;Midway Games;840;-347241600
328;Mean Hamster Software;;
329;Cavia;392;951868800
330;THQ Asia Pacific;;
331;Triumph Studios;528;883526400
332;EA Black Box;124;
333;EA Singapore;702;
334;Sony Computer Entertainment Europe (SCEE);;
335;Square Product Development Division 3;;
336;Square Enix Product Development Division 3;;
337;Square Enix Product Development Division 4;;
338;Encore;840;
339;The Assembly Line;;
340;Empire Interactive;826;567907200
341;Bullet-Proof Software;;
342;Yosemite Entertainment;840;
343;Kronos Digital Entertainment;840;725760000
344;Macmillan Digital Publishing USA;;
345;Think & Feel;;
346;The Game Designers Studio;;
347;Criterion Games;826;757296000
348;Exient Entertainment;826;
349;Black Box Games;124;915062400
350;EA Seattle;;
351;EA Montreal;124;1079481600
352;Eden Studios;;915062400
353;Pocketeers;;
354;DSI Games;;
355;Zoo Digital;826;946598400
356;Slightly Mad Studios;826;1262217600
357;Firebrand Games;826;
358;Raster Productions;;
359;Hammerhead;;
360;Logicware;840;820368000
361;Hyperion Entertainment;56;
362;Pi Studios;;
363;GRAVITY;;
364;Rockstar San Diego;840;1041292800
365;Rockstar North;826;1041292800
366;Epyx;840;441676800
367;Gray Matter Interactive;840;757382400
368;Infocom;;
369;Chris Sawyer;;
370;Péndulo Studios;724;788832000
371;Dinamic Multimedia;;
372;GSC World Publishing;804;1104451200
373;Ascaron Entertainment;276;725760000
374;Koch Media;276;788832000
375;Red Ant Enterprises;;
376;Linux Game Publishing;;
377;Firaxis Games;840;851990400
378;Westlake Interactive;;
379;Full Fat;826;820454400
380;Adventure Soft;826;707529600
381;Headfirst Productions;826;915062400
382;Silver Style Entertainment;276;
383;RTL Enterprises;276;
384;Playlogic Entertainment;;
385;Krome Studios;36;946598400
386;Lucasfilm Animation Singapore;702;1104451200
387;Sculptured Software;840;473299200
388;JVC;;
389;Universomo;246;1041292800
390;THQ Wireless;840;
391;Red Fly Studio;;
392;High Voltage Software;840;
393;inXile Entertainment;840;1029196800
394;Nadeo;250;978220800
395;Sonic Team;392;631152000
396;Dimps Corporation;392;952300800
397;Darkworks;250;884217600
398;Ubisoft Shanghai;156;851990400
399;Longtail Studios;;
400;SCE Japan Studio;;
401;Naughty Dog;840;631065600
402;Day 1 Studios;;
403;Sucker Punch Productions;840;883526400
404;Cyanide Studio;250;978220800
405;Spiders;250;1230681600
406;Ubisoft Massive;752;883526400
407;Monolith Productions;840;780969600
408;TimeGate Studios;;
409;WB Games - duplicate;;
410;Big Blue Box;826;
411;Robosoft Technologies;;
412;Codemasters Southam;826;536371200
413;Human Head Studios;840;875664000
414;Croteam;191;757296000
416;Syfy Games;;
418;EA Play;;
419;Project Aces;392;
420;Flying Wild Hog;616;1238544000
421;Nintendo EAD;392;347068800
422;Carbine Studios;840;1135987200
423;Deep Silver;276;1009843200
425;Eurocom;826;591667200
426;Disney Interactive Studios;840;599529600
427;Bugbear Entertainment;246;951868800
428;Treyarch;840;851990400
429;Venom Games;826;1072828800
430;duplicate company name 1;;
431;Ready at Dawn;840;1072828800
432;Beenox;124;946684800
433;Ubisoft Reflections;826;1167523200
434;High Moon Studios;840;1009756800
435;Danger Close;840;1293753600
436;ZootFly;705;
437;Avalanche Studios;752;1046476800
438;Infinity Ward;840;1041292800
439;Sumo Digital;826;1072828800
440;SCEE - duplicate;;
442;Asobo Studio;250;1041292800
443;Endrant Studios;;
444;Radical Entertainment;124;694137600
445;505 Games;840;1167523200
446;Got Game Entertainment;;
448;Vicious Cycle Software;;
449;D3 Publisher;;
450;Aion Team Development Dept;;
451;Terminal Reality;840;780969600
452;Threewave Software;;
453;Zen Studios;348;978220800
454;EA Sports;124;662688000
455;Sonalysts;;
456;Crack dot Com;;
457;Eugen Systems;250;
458;Funcom;578;757296000
461;Fox Interactive;;
463;MS Game Studios - duplicate;;
465;U.S. Army;;
466;Interactive Magic;;
467;Digital Integration;;
468;Meridian4;;
469;JoWooD Entertainment AG;40;820368000
470;Turbine, Inc.;840;788832000
471;Pulse Entertainment;;
472;Infinite Monkey;;
474;Liquid Entertainment;840;917827200
476;Matrix Games;840;946598400
478;Aries Online Games;;
479;PopCap;124;
481;Reflexive Entertainment;840;883526400
482;Revolution Software;826;638150400
483;Gray Matter;;
485;SCi Games;;
486;Sports Interactive;826;774748800
487;3DO;;
488;Stick Man Games;;
489;Mindscape;840;441676800
491;Dreamworks Games;;
492;Atomic Games;840;631065600
493;Stormregion;;
494;Battlefront.com;840;
495;Big Time Software;;
496;EA Pacific;;
498;Pyro Studios;724;851990400
499;Relic;;
500;Auran;;
501;Delphine Software;250;
502;Valve Software - duplicate;840;851990400
503;Mitsumi;;
505;Outrage Games;840;880934400
506;Parallax Software;;
507;Volition Inc;840;846806400
508;PlayFirst;840;1104451200
510;Larian Studios;56;851990400
512;Ocean;;
513;Digital Image Design;;
515;Razorworks Studios;;
516;4HEAD Studios;;
517;Paradox Interactive;752;915062400
518;Third Wire;;
519;Graphic Simulations;;
522;Origin;;
523;Graphsim Entertainment;;
524;Lead Pursuit;;
525;GMX Media;;
528;SSI (Strategic Simulations, Inc.);840;315446400
529;Flying Legends;;
530;Eagle Dynamics;643;
532;Probe Entertainment;826;473299200
533;Stardock;840;694137600
534;Sick Puppies;;
535;Papyrus;;
536;DMA Design;826;599529600
537;Massive Entertainment;;883526400
538;Viva Media;840;946598400
539;SimBin;752;
540;10tacle Studios;276;1072828800
541;Team .366;;
542;Barking Dog;124;893980800
543;Rage Software;826;725760000
545;Particle Systems;;
547;Accolade;840;469065600
548;Eclipse Software;;
549;Hypnos;;
550;Gamestorm;;
551;NetDevil;;
552;Crystal Dynamics;840;725760000
553;Access Software;840;410140800
555;EA Tiburon;840;788832000
558;FASA Studio;;
559;Rowan Software;826;567907200
560;Legend Entertainment;;
561;Magnetic Fields;;
563;Rainbow Studios;840;536371200
564;Presto Studios;;
566;Midway;840;567993600
567;Mind Control;;
568;SegaSoft;;
569;Rocket Science Games;;725846400
570;Norm Koger;;
571;Out Of The Park Developments;276;
572;Appeal;;
573;Tri Synergy;;
575;Impressions Games;826;631065600
576;Digital Illusions;752;725760000
578;Gremlin Interactive;826;473299200
579;Big Huge Games;840;949363200
580;Spellbound Entertainment;276;765072000
581;Creative Assembly - duplicate;;
582;Random Games;;
583;Ironclad Games;124;
584;Sandlot Games;;
585;Nayantara Studios;;
587;Petroglyph - duplicate;;
589;Shrapnel Games;;
590;eSim Games;;
591;Team Meat;840;1230681600
592;Milestone;380;
593;The Adventure Company;124;1041292800
594;Microïds;250;504835200
595;VU Games;;
598;Headgate Studios;840;725760000
602;Burst Studios;;
603;Humongous Entertainment;840;720403200
604;Cavedog Entertainment;840;851990400
605;400 Software Studios;;
606;DreamForge Intertainment;840;757296000
607;Red Orb Entertainment;840;864172800
608;Broderbund;840;347068800
609;KCET;;
610;Monster Games;;
611;Celeris;840;567907200
612;Brighter Minds;;
613;2D Boy;840;
614;Team 17;826;662601600
617;Bandai;392;-615168000
618;Interactive Simulations;;
619;Red Hat;;
620;Bungie;840;673056000
622;Jane's Combat Simulations;;
623;DivoGames;;
624;Third Law Interactive;;
625;Microsoft Research;;
628;Stainless Games;826;757296000
629;Sales Curve Interactive;;
630;Koei;392;270172800
631;Zonic Limited;826;851990400
632;Ambrosia Software;840;
633;Haage & Partner;;
634;Devolver Digital;840;
635;BreakAway Games;;
636;Rockstar Vancouver;124;893980800
637;Rockstar New England;840;1230681600
638;Rockstar London;826;1135987200
639;Strategic Studies Group;;
640;Kesmai;;
642;testcompany1;;
643;Rainmaker Software;;
644;Merit Software;;
645;Firefly Studios;826;
646;Blue Byte Software;276;570672000
647;Related Designs;276;
648;Mountain Sheep;246;
649;2K Boston;840;1199059200
650;Reflections Interactive;826;473299200
651;Sourcenext;;
652;Nintendo Australia;;
655;Capcom Production Studio 3;;
656;Angel Studios;840;473299200
657;Underground Development;;
658;Slant Six Games;;
659;Sledgehammer Games;840;1238457600
660;Capcom Production Studio 1;;
661;Image Space Incorporated;;
662;Visual Science;826;1072828800
663;Capcom Production Studio 4;;
664;M4 Limited;;
665;Williams Entertainment;;
666;Iguana UK;;
667;Crave Entertainment;840;852076800
668;Digital Jesters;;
669;Spiral House;826;883612800
670;Papyrus Design Group;;
672;Synergex de Argentina;;
673;Blimey! Games;;
674;Maddox Games;;
675;Orange Games;;
676;Extended Play Productions;;
677;XYZ Productions;;
678;Black Pearl Software;;
679;Tri-Synergy;;
680;Pipeworks Software;840;941414400
681;Cunning Development;;
682;Reactor Zero;;
683;Hypnos Entertainment;;
684;Budcat Creations;840;1472688000
685;FASA Interactive;;
686;Actualize;;
687;Creative Asylum;;
688;S2 Games;840;
689;Garena;702;1262217600
690;Torus Games;36;788832000
691;HeadGames;;
692;High Score Productions;;
693;Ceris Software;;
694;Visual Concepts;840;578448000
695;Auran Games;;
696;HB Studios;124;
697;Ubisoft Bucharest;642;725760000
698;Mind Control Software;;
699;Pipe Dream Interactive;;
700;Majesco Entertainment;840;536371200
702;Ubisoft Montpellier;250;820368000
703;BMG Interactive;;
704;ASC Games;;
705;Shaba Games;;
706;HotGen;826;
707;ChinaAVG;;
708;On-Line Systems;840;315446400
709;Teyon;616;1167523200
710;Mastiff;840;
711;Psyonix;840;978220800
712;EA Mobile;840;1104451200
713;Raylight Studios;;
714;ACES Game Studio;;
715;Hitmen Productions;;
716;Natsume;840;578534400
717;Red Storm Entertainment;840;851990400
718;EA Manchester;;
719;Infogrames North America;;
720;Infogrames Europe;250;423273600
722;343 Industries;840;1183248000
723;Aeon Electronic Entertainment;;
724;Ultimation;;
725;Buzz Monkey Software;;
726;SCE Bend Studio;;
727;Oddworld Inhabitants;840;788832000
728;Just Add Water (Development) Ltd;826;1167523200
729;TechInform;;
730;Straandlooper Animation;;
731;bitComposer Games;;
732;Project Soul;392;
733;Realtime Worlds;826;1041292800
734;Reloaded Productions;;
735;K2 Network;;
736;Brightside Entertainment;;
737;Exosyphen Studios;;1072828800
738;Evolution Vault;;
739;GREZZO Co.,Ltd.;392;1164931200
740;Spicy Horse Games;156;1199059200
741;Toys for Bob;840;631065600
742;Unigine Corp;;
743;Tripwire Interactive;840;1135987200
744;Biart;643;1199059200
745;Futuremark Games Studio;;
746;Media Molecule;826;1136332800
747;Tarsier Studios;752;1088640000
748;Double Eleven;826;
749;SCE Cambridge Studio;826;867974400
750;Cinemaware;;
753;Nordic Games Publishing;40;1230681600
754;Legacy Interactive;;
755;Namco Bandai Partners;;
756;E-Frontier;;
761;Nintendo Research & Development 1;392;31449600
762;HAL Laboratory;392;319939200
763;38 Studios;840;1167523200
764;Psygnosis;826;473299200
765;Intelligent Systems Co., Ltd.;392;536371200
766;Retro Studios;840;915062400
767;Fuse Games;;
768;Nintendo Software Technology;840;915062400
769;Team Ninja;392;788918400
770;D-Rockets;;
771;Rare;826;482457600
772;Palcom;;
773;Nintendo EAD Tokyo;392;1041292800
774;QLOC;616;1262217600
775;Paon;;
776;KCEN;;
777;Konami Computer Entertainment Kobe;;
778;Konami Mobile;;
779;Konami Eighting;;
780;Digitalmindsoft;276;1167523200
781;M2;;
782;Marvelous Entertainment;392;867196800
783;Kalypso Media;276;1167523200
784;Camelot Software Planning;392;
785;Studio 33;;
786;Q Entertainment;392;1065744000
787;Aspect;392;669859200
788;Platinum Egg;;
789;Buena Vista Games;;
790;Wargaming.net;196;915062400
791;KongZhong;;
792;O3 Games;;
793;Pan Interactive;;
794;Virtuos;156;1101859200
795;Ninja Theory;826;1072915200
796;Infinite Game Publishing;;
797;h.a.n.d., Inc.;392;899251200
798;Ubisoft Australia;;
799;Square Enix Product Development Division 1;;
800;Jupiter Corporation;392;708220800
801;Square Enix Product Development Division 5;;
802;Eighting/Razing;;
803;Arika Co., Ltd.;392;815184000
804;Beam Software;;
805;Other Ocean Interactive;124;1167523200
806;Tantalus Interactive;36;788832000
807;Doublesix;;
808;Xbox Live Production;;
809;South Park Digital Studios;;
810;Iguana Entertainment;840;
811;Appaloosa Interactive;;
812;Gradiente;;
813;Universal Interactive Studios;;
814;SuperVillain Studios;;
815;Vivendi Universal Games;840;1009756800
816;Atelier Double;;
817;Taito;392;
818;Atlus;392;513216000
819;Neverland;;
820;Working Designs;840;536371200
821;TDK Mediactive;;
822;Ubisoft Singapore;702;1214870400
823;United Front Games;124;1199059200
824;Square Enix London Studios;826;1257897600
825;Vigil Games;840;
826;Namco Tales Studio;;
827;Telenet Japan;;
828;Alfa System;392;
829;Wolfteam;;
830;Sega AM2;;
831;Access Games;392;1041292800
832;Rising Star Games;826;1104451200
833;Ignition Entertainment;;
834;Insomniac Games;840;788832000
835;Ronimo Games;528;1172707200
836;Kadokawa Games;392;1238544000
837;Level-5;392;907200000
838;Romstar;;
839;Locomotive Games;;
840;Ubisoft Sofia;100;1167523200
841;Ubisoft Paris;250;536371200
842;GRIN;752;883526400
843;Harmonix Music Systems;840;788918400
844;RedOctane;;
845;Grasshopper Manufacture;392;891216000
846;Rutubo Games;;
847;Ubisoft Toronto;124;1293753600
848;TKO Software;;
849;Netherock Ltd.;;
850;Dreamworks Interactive;840;820368000
851;ZeniMax Online Studios;840;1199059200
852;Platinum Games;392;1154390400
853;CCP Games;352;865123200
854;Playdead;208;1149120000
855;Atari Incorporated - duplicate;;
856;Unknown Worlds Entertainment;840;1009756800
857;ThatGameCompany;840;1147651200
858;Koei Tecmo Games Co., Ltd.;392;1270080000
859;Runic Games;840;1218153600
860;Fatshark;752;1230681600
861;Treasure;392;
862;Tamsoft;392;709516800
863;Takara;;
864;Hudson Soft;392;106531200
865;Will;;
866;Nintendo SPD Group No. 2;392;1064880000
867;MSF/Winds;;
868;Junction Point Studios;;
869;SEGA Racing Studio;;
870;SEGA Amusements Europe;;
871;Cyberhead;;
872;Altron;;
873;Cloud Imperium Games Corporation;840;1333584000
874;Smilebit;392;956275200
875;Blit Software;;
876;Sora;392;1128038400
877;Black Ops Entertainment;;
878;2n Productions;;
879;The Kremlin;;
880;Domark Software;;
881;Walking Circles;;
882;De Re Software;;
883;8ing;;
884;Polyphony Digital;392;915062400
885;Krisalis Software;;
886;Just Games Interactive;;
887;Midway Amusement Games;;
888;Digital Eclipse;840;725760000
889;Virtucraft;;
890;Activision Interactive;;
891;Halfbrick Studios;;
892;Capcom Production Studio 2;392;
893;The Farm 51;616;
894;Dontnod Entertainment;250;1230681600
895;Heavy Iron Studios;840;915148800
896;Ubisoft Quebec;124;1135987200
897;Ubisoft Red Storm;;
898;Ubisoft Casablanca;504;891388800
899;Ubisoft Milan;380;915062400
900;Rayland Interactive;;
901;Crawfish Interactive;;
902;Yager Development;276;928195200
903;Interplay Productions;840;441676800
904;SoftBank;;
905;Overkill Software;752;1262217600
906;Nabi Studios;702;
907;Sony Computer Entertainment of America (SCEA);840;
908;CD Projekt RED;616;1012521600
909;Subterranean Games;;
910;Re-Logic;840;
911;Suzhou Snail Electronic;;
912;Snail Games;156;
913;Gala Networks;;
914;Mental Games;;
915;Crate Entertainment;840;1230681600
916;Cryptic Studios;;
917;Perfect World Entertainment;840;1230681600
918;Fullbright;840;1488326400
919;Grinding Gear Games;554;1162339200
920;Crytek Kiev;;
921;Might and Delight;752;1271376000
922;Paramount Pictures;;
923;Bad Robot Interactive;;
924;K/O Paper Products;;
925;CBS Studios;;
926;City Interactive;616;1041292800
927;Gottlieb;;
928;Supergiant Games;840;1262217600
929;Arkalis Interactive;;
930;MGM;;
931;Vircom Interactive;;
933;SouthEnd Interactive;752;909878400
934;Iridon Interactive AB;752;865123200
935;Running with Scissors;840;
936;Shining Rock Software;;
937;WB Games Montréal;124;1269993600
938;Coktel Vision;250;504835200
939;Gazillion Entertainment;;
940;Paradox Arctic;752;
941;BL-Logic;;
942;Graviteam;;
943;Colossal Order;246;1451606400
944;Darkest Hour Team;;
945;Nitro Games;246;
946;Saber Interactive;840;978220800
947;Taleworlds;792;1135987200
948;Spark Unlimited;840;1014940800
949;Reloaded Productions;;
950;Rovio Entertainment;246;1072828800
951;Sunflowers Interactive Entertainment Software;;
952;Black Sea Studios;100;1009756800
953;Arrowhead Game Studios;752;
954;ACE Team;152;1041292800
955;Blue Isle Studios;124;1293753600
956;Alexander Bruce;;
957;Ndemic Creations;826;1356912000
958;Paradox France;;
959;SilverBirch, Inc;124;1104451200
960;VSTEP;528;
961;BattleGoat Studios;124;
962;Lighthouse Interactive;528;1135987200
963;Kerberos Productions;124;
964;1C:Ino-Co Plus;;
965;Ghost Games;752;1325289600
966;KillHouse Games;642;1356912000
999;Coffee Stain Studios;752;1287619200
1000;Absolute Entertainment;840;536371200
1001;Eutechnyx;826;820454400
1002;Respawn Entertainment;840;1270512000
1003;Dennaton Games;752;1356912000
1004;A.I;;
1005;Klei Entertainment;124;1120176000
1006;Housemarque;246;820368000
1008;Free Radical Design;;
1009;RedLynx;246;946684800
1010;Microsoft Studios;;1325289600
1011;Black Rock Studios;826;1167523200
1012;FromSoftware;392;531187200
1013;Polytron Corporation;;
1014;Data Design Interactive;;
1015;Ed Key and David Kanaga;;
1016;Twisted Tree;;
1017;The Neverhood, Inc.;;
1018;Gaijin Entertainment;643;
1019;GameTek, Inc.;;
1020;Electric Dreams Inc.;;
1021;WayForward Technologies Inc.;840;662601600
1022;Turn 10 Studios;840;1009756800
1023;Wizards of the Coast LLC;;
1025;Good-Feel;392;
1027;Distinctive Software, Inc.;826;
1028;Revistronic;;
1029;Softgold Computerspiele GmbH;276;
1030;Bluepoint Games;840;1167523200
1031;Core Design;826;599529600
1032;Dynabyte;;
1033;SCE London Studio;826;1009756800
1034;Home Vision;;
1035;Gem International Corp.;;
1036;VDI Video Direct International;;
1037;Philips Interactive Media, Inc.;;
1038;InterWeave Entertainment;;
1039;Entertainment Software Partners;;
1040;Réunion des Musées Nationaux;;
1041;Canal+Multimédia;;
1042;21st Century Entertainment;;
1044;Spectrum HoloByte, Inc.;840;441676800
1045;Viacom New Media;;
1046;Stormfront Studios;840;757296000
1047;Leaping Lizard;;
1048;Nintendo EAD Group No. 4;392;1064880000
1049;ITT Family Games;;
1050;Mode 7;826;1135987200
1051;Hothead Games;124;
1052;Valcon Games;;
1053;Spike;392;687744000
1054;Next Level Games;124;1033430400
1055;EA Casual Entertainment Label;;
1056;Piranha Bytes;276;852076800
1057;Egmont Interactive;;
1058;Xicat Interactive;;
1059;YUKE'S Co., Ltd.;392;730684800
1060;Vanillaware;392;1013126400
1061;Distractionware;;
1062;Ivory Tower;250;1199059200
1063;Semi Secret Software;;
1064;Apeiron Studios;643;
1065;Realmforge Studios;276;1226620800
1066;Pandora;;
1067;Magnetic Scrolls;;
1068;Zeal Game Studio;752;
1069;SIMS Co., Ltd;392;676684800
1070;Aqua Pacific;;
1071;Critical Studios;;
1072;CS1 Team;;
1073;dupe - Gamefreak;392;609552000
1074;The Pokémon Company;392;915062400
1076;Datasoft, Inc.;840;347068800
